,glofasStation,placeCode
0,no_station,ET041621
1,no_station,ET160032
2,no_station,ET010207
3,no_station,ET040302
4,G4951,ET020104
5,G5056,ET120101
6,no_station,ET050699
7,no_station,ET160016
8,no_station,ET070102
9,no_station,ET030799
10,no_station,ET041403
11,no_station,ET070215
12,no_station,ET140108
13,no_station,ET041905
14,no_station,ET030299
15,no_station,ET070208
16,no_station,ET041482
17,no_station,ET071205
18,no_station,ET030507
19,no_station,ET030408
20,no_station,ET030515
21,no_station,ET030404
22,no_station,ET010411
23,no_station,ET010607
24,no_station,ET041904
25,no_station,ET041104
26,no_station,ET020111
27,no_station,ET010111
28,no_station,ET010210
29,no_station,ET020203
30,no_station,ET041703
31,no_station,ET070801
32,no_station,ET050395
33,no_station,ET160021
34,no_station,ET071403
35,no_station,ET040516
36,no_station,ET130109
37,no_station,ET072102
38,no_station,ET150201
39,no_station,ET130107
40,no_station,ET040311
41,no_station,ET040417
42,no_station,ET070905
43,no_station,ET050205
44,no_station,ET030513
45,no_station,ET150109
46,no_station,ET041910
47,no_station,ET010212
48,no_station,ET010316
49,no_station,ET031115
50,no_station,ET040825
51,G1067,ET020302
52,no_station,ET030908
53,no_station,ET010315
54,G1067,ET020301
55,no_station,ET160003
56,no_station,ET071021
57,no_station,ET031004
58,no_station,ET010204
59,no_station,ET010202
60,no_station,ET010112
61,no_station,ET040714
62,no_station,ET160005
63,no_station,ET010211
64,no_station,ET020209
65,no_station,ET030598
66,no_station,ET040503
67,no_station,ET041622
68,no_station,ET041099
69,no_station,ET040515
70,no_station,ET040906
71,no_station,ET140101
72,no_station,ET010308
73,no_station,ET040708
74,no_station,ET010105
75,no_station,ET030599
76,no_station,ET071015
77,no_station,ET010213
78,no_station,ET050105
79,no_station,ET050203
80,no_station,ET130108
81,no_station,ET020306
82,no_station,ET040617
83,no_station,ET041909
84,no_station,ET020207
85,no_station,ET020396
86,no_station,ET030903
87,no_station,ET030514
88,no_station,ET072001
89,G4954,ET050101
90,no_station,ET040111
91,no_station,ET030611
92,no_station,ET040314
93,no_station,ET040802
94,no_station,ET040107
95,no_station,ET040894
96,no_station,ET031002
97,no_station,ET070302
98,G4953,ET030702
99,no_station,ET040709
100,no_station,ET041114
101,no_station,ET030517
102,no_station,ET060305
103,no_station,ET140109
104,no_station,ET041000
105,no_station,ET030617
106,no_station,ET041799
107,no_station,ET031099
108,G1901,ET071601
109,no_station,ET010307
110,no_station,ET010507
111,no_station,ET020205
112,no_station,ET030102
113,no_station,ET071805
114,no_station,ET042011
115,G5141,ET041208
116,no_station,ET030699
117,no_station,ET060303
118,no_station,ET041309
119,no_station,ET050807
120,no_station,ET070622
121,G1901,ET070705
122,no_station,ET071508
123,no_station,ET070910
124,no_station,ET071006
125,no_station,ET041097
126,G1904,ET050603
127,no_station,ET041607
128,no_station,ET030210
129,no_station,ET030803
130,no_station,ET041304
131,no_station,ET031112
132,no_station,ET050394
133,no_station,ET041808
134,no_station,ET070608
135,no_station,ET070119
136,no_station,ET050302
137,no_station,ET041402
138,no_station,ET020208
139,no_station,ET031106
140,no_station,ET030607
141,no_station,ET020504
142,no_station,ET160015
143,no_station,ET041587
144,G1901,ET070706
145,no_station,ET030106
146,no_station,ET070909
147,no_station,ET071004
148,no_station,ET030707
149,no_station,ET030715
150,no_station,ET070115
151,no_station,ET020206
152,no_station,ET070615
153,no_station,ET010414
154,no_station,ET050504
155,no_station,ET040507
156,no_station,ET050788
157,no_station,ET041623
158,no_station,ET030613
159,no_station,ET040510
160,no_station,ET070510
161,no_station,ET040505
162,no_station,ET040710
163,no_station,ET060207
164,no_station,ET040913
165,no_station,ET060201
166,no_station,ET072005
167,no_station,ET040410
168,no_station,ET030520
169,G1067,ET020503
170,no_station,ET070504
